Tim Burton,director / executive producer 
Vlad Cioplea,still photographer (8 episodes 2022)
David Dorohoianu,second photography assistant (8 episodes 2022)
Omar Dughouz,"second assistant camera: ""a"" camera (8 episodes 2022)"
Daniel Farkas,digital imaging technician (8 episodes 2022)
Robert Fenichiu,electrician / lighting technician (8 episodes 2022)
Cristi Fratoaica,second assistant camera: second unit (8 episodes 2022)
Toni Ilinca,video operator (8 episodes 2022)
Ochiana Ionut,video assist operator (8 episodes 2022)
Andrei Karastanef,"second assistant camera: ""a"" camera (8 episodes 2022)"
Brad Larner,"first assistant camera: ""a"" camera (8 episodes 2022)"
Tudor Lucaciu,director of photography: second unit (8 episodes 2022)
Radu Marinescu,key grip (8 episodes 2022)
Florin Mihalache,gaffer (8 episodes 2022)
Mihai Adrian Olteanu,best boy electric (8 episodes 2022)
Andrei Petrescu,electrician (8 episodes 2022)
Liviu Pojoni Jr.,"camera operator: ""b"" camera (8 episodes 2022)"
Florea Andrei Stefan,dimmerboard operator/lighting console programmer (8 episodes 2022)
Viorel Stefan,crane operator (8 episodes 2022)
Adelina Vancea,camera trainee (8 episodes 2022)
Petre Victor,"camera operator: ""b"" camera (8 episodes 2022)"
Rob Arrowsmith,"camera operator: ""a"" camera/steadicam operator main unit (4 episodes 2022)"
Andrei Cretan,"first assistant camera: ""b"" camera (4 episodes 2022)"
Fabrizio Sciarra,"camera operator: ""a"" camera/steadicam operator main unit (4 episodes 2022)"
Boroka Biro,director of photography: epk (2 episodes 2022)
Valdas Gulbinauskas,video assistant: additional photography (2 episodes 2022)
Matei Popa,second assistant camera: second unit (2 episodes 2022)
Sandor Arkus,data management technician (2 episodes 2022)
Cornel Biciu,underwater gaffer (1 episode 2022)
Neil Bradley,ronin 2 technician: additional photography (1 episode 2022)
Alexandru Durac,"camera operator: ""a"" camera/steadicam operator (1 episode 2022)"
Sarbu Gigi,key grip: second unit (1 episode 2022)
Ben Parish,underwater assistant camera (1 episode 2022)
Aurelian Radu,grip (2 episodes 2022)
Ian Seabrook,underwater director of photography (1 episode 2022)
Constantin Stan,second unit (1 episode 2022)
Alexandru Bogdan Stefan,crane technician (2 episodes 2022)
Balazs Varszegi,data management technician (2 episodes 2022)
Jens Winkler,underwater assistant camera (1 episode 2022)
Catalin Popa,photography assistant (uncredited) (8 episodes 2022)
Peter Driscoll,key animator (1 episode 2022)
Whitney Strouth,animator (uncredited) (1 episode 2022)
Emily Bohbrink,casting associate (8 episodes 2022)
Sinead Donnelly,casting assistant: Jenna Ortega (8 episodes 2022)
Radu Dragoi,casting assistant (8 episodes 2022)
Frankie Fearis,casting assistant (8 episodes 2022)
Olissa Rogers,casting associate: Jenna Ortega (8 episodes 2022)
Chandra Ruegg,casting associate (8 episodes 2022)
Fiona Weir,casting: Jenna Ortega (8 episodes 2022)
Sarah Wilson,casting associate (8 episodes 2022)
Maddalena Zuppetta,casting assistant (8 episodes 2022)
George Ludlow,casting associate (3 episodes 2022)
Ioana Albaiu,wardrobe supervisor (8 episodes 2022)
Madalina Anton,breakdown artist (8 episodes 2022)
Mattia Bionda,principal costume cutter (8 episodes 2022)
Mariana Bujoi,costumer (8 episodes 2022)
Maria Ciucanu,wardrobe mistress (8 episodes 2022)
Ylenia Comerci,principal seamstress (8 episodes 2022)
Lavinia Dedu,set costumer (8 episodes 2022)
Constantinescu Denisa,wardrobe assistant (8 episodes 2022)
Andreea Dinu,principal standby (8 episodes 2022)
Maria Endara,senior costume maker (8 episodes 2022)
Cristina Ghergheli,set costumer (8 episodes 2022)
Megan Howell,senior costume maker (8 episodes 2022)
Daniela Ilin,set costumer (8 episodes 2022)
Benjamin Ip,costume concept artist (8 episodes 2022)
Ana Lazar,wardrobe assistant (8 episodes 2022)
Paula Lazaroni,breackdown artist (8 episodes 2022)
Twan Lentjes,principal costume maker (8 episodes 2022)
Ioana Mihailescu,wardrobe assistant / crowd standby costumer / crowd stand-by costumer (8 episodes 2022)
Alessio O'Driscoll,principle costume cutter (8 episodes 2022)
Ioana Somanescu,principal standby (8 episodes 2022)
Bobby Soutar,assistant costume designer (8 episodes 2022)
Mark Sutherland,costume co-designer (8 episodes 2022)
Beth Tilley,senior costume maker (8 episodes 2022)
Jess Willcock-Stow,junior assistant costume designer / junior assistant costume designerr (8 episodes 2022)
Elizabeta Zainea,wardrobe assistant (8 episodes 2022)
Marta Airoli,principal seamstress (5 episodes 2022)
Ian Frazer Wallace,principle cutter (5 episodes 2022)
Adina Bucur,costume supervisor (4 episodes 2022)
Claudia Littlefield,costume supervisor (3 episodes 2022)
Alina Caprian,additional costumer (1 episode 2022)
Madison D'Urbano,post-production assistant: Marc Graue Recording Studios (8 episodes 2022)
Bogdan Geambasu,dailies operator (8 episodes 2022)
Katherine Hul,post production supervisor (8 episodes 2022)
Razvan Ilinca,assistant editor (8 episodes 2022)
Tom Mayclim,data manager: Company 3 (8 episodes 2022)
Ian Passy,Color Assistant (8 episodes 2022)
Sebastian Plamadeala,dailies supervisor (8 episodes 2022)
Carmen Rizac,dailies coordinator (8 episodes 2022)
Joanne Rourke,senior colorist (7 episodes 2022)
Alexandru Stoica,dailies operator (8 episodes 2022)
Ian Sullivan,finishing accountant (8 episodes 2022)
Lavinia Terletchi,assistant editor (8 episodes 2022)
Viktorija Tupikaite,data i/o operator (8 episodes 2022)
Motassem Younes,on-line editor (8 episodes 2022)
Galina Chakarova,first assistant editor (4 episodes 2022)
Mihai Cosmin Popa,first assistant editor (4 episodes 2022)
Cristi Dogaru,assistant location manager (8 episodes 2022)
Calin Hagima,location manager (8 episodes 2022)
Tracey Savein,location scout (8 episodes 2022)
Alex Molea,supervising location manager (4 episodes 2022)
Mircea Paraschiv,location manager (4 episodes 2022)
Florin Patrascu,assistant location manager (4 episodes 2022)
Sarah Chapeck,music coordinator (8 episodes 2022)
Norbert Elek,music preparation (8 episodes 2022)
Peter Kohrman,technical score engineer (8 episodes 2022)
Jen Malone,music supervisor (8 episodes 2022)
Mandy Mamlet,music executive (8 episodes 2022)
�lveti M�ty�s,cello solos by (8 episodes 2022)
Michael T. Ryan,music editor (8 episodes 2022)
B�lint Sapszon,contractor for Budapest Scoring (8 episodes 2022)
Viktor Szab�,recording engineer (8 episodes 2022)
Nicole Weisberg,music supervisor (8 episodes 2022)
Shachar Boussani,score mix assistant (6 episodes 2022)
Robert Litton,orchestrator (6 episodes 2022)
Noah Scot Snyder,music scoring mixer (6 episodes 2022)
Esin Aydingoz,arranger (3 episodes 2022)
Hemanth965,orchestrator: theme melody (3 episodes 2022)
Steve Bartek,orchestrator (2 episodes 2022)
Bence Bob�k,score engineer (2 episodes 2022)
David G. Russell,conforming (2 episodes 2022)
Greg Hayes,music scoring mixer (1 episode 2022)
Bri Holland,singer (1 episode 2022)
Alfredo Pasquel,score mix assistant (1 episode 2022)
Cristina B�lea,assistant script supervisor (8 episodes 2022)
Monica Tatu,script supervisor (8 episodes 2022)
Daniel Sipocz,service driver (8 episodes 2022)
Pal Szilard Levente,unit driver (8 episodes 2022)
Priscila Amescua-Mendez,Support to co executive producer (8 episodes 2022)
Dogaru Silviu Andrei,unit production assistant / unit set assistant (8 episodes 2022)
Aaron Becker,main title design (8 episodes 2022)
Gergo Benkoczy,dog trainer (8 episodes 2022)
Dascalu Bogdan,unit production assistant (8 episodes 2022)
Teo Bostanica,unit manager (8 episodes 2022)
Alexandra Cranga,petty cash accountant (8 episodes 2022)
Razvana Cristescu,first assistant accountant (8 episodes 2022)
Claudia Dediu,producer's assistant (8 episodes 2022)
Penny Dyer,dialect coach (8 episodes 2022)
Zoltan Horkai,head animal trainer (8 episodes 2022)
Ana Ineni,production secretary (8 episodes 2022)
Emanuel Gabriel Ion,testing coordinator assistant (8 episodes 2022)
Gavriloaia Irina,assistant contracts coordinator (8 episodes 2022)
Peter Ivanyi,head animal trainer (8 episodes 2022)
Austin Kircher,post-production accountant (8 episodes 2022)
Christopher Landry,epk host (8 episodes 2022)
Nelson Moses Lassiter,production administration assistant (8 episodes 2022)
Ioana Macarie,choreographer (8 episodes 2022)
Cosmin Manea,payroll accountant (8 episodes 2022)
Elle McAlpine,intimacy coordinator (8 episodes 2022)
Troy James Miller,titles producer: Filmograph (8 episodes 2022)
Dan Mirea,unit operations (8 episodes 2022)
Ioana Mititelu,assistant production coordinator (8 episodes 2022)
Kristine Popovici,office production assistant (8 episodes 2022)
Aurel Nicolae Radu,assistant accountant (8 episodes 2022)
Olesea Railean,production accountant (8 episodes 2022)
Adrian Sabau,production coordinator (8 episodes 2022)
Iulia Anamaria Sima,contracts coordinator (8 episodes 2022)
Daniela Soare,production assistant (8 episodes 2022)
Adam M. Stone,product placement coordinator (8 episodes 2022)
Cat Stone,product placement coordinator (8 episodes 2022)
Georgiana Tamaga,travel coordinator (8 episodes 2022)
Logi Thorvaldsson,actors assistant (8 episodes 2022)
Toria Turner,executive assistant (8 episodes 2022)
Tony Wright,international liaison (8 episodes 2022)
Lindsay Moffat,production accountant (4 episodes 2022)
Gunnar Sizemore,adr voice actor (4 episodes 2022)
Bacula Sorin,caterer (3 episodes 2022)
Monica Adam,petty cash (2 episodes 2022)
Liliana Chomsky,adr loop group (2 episodes 2022)
Vanessa Coffey,intimacy coordinator (2 episodes 2022)
Marius Florescu,covid supervisor (2 episodes 2022)
Marilyn Lindsay,prep accountant (2 episodes 2022)
Rhidian Bridge,covid supervisor (1 episode 2022)
Bianca Bumvacea,basecamp runner (1 episode 2022)
Luke Carroll,production secretary: additional photography (1 episode 2022)
Ahmed El-Gallad,writer (1 episode 2022)
Jorge Garcia Castro,consultant (1 episode 2022)
Adam Lannon,covid manager (1 episode 2022)
Sarah McGuinness,dialect coach: James Clay Caroline Lawrie (1 episode 2022)
Annabel Wilkin,first assistant accountant: UK (1 episode 2022)
Eugene Shawn,assistant (uncredited) (8 episodes 2022)
Ana Duarte,assistant to casting director (uncredited) (1 episode 2022)
Isaac Sunderland,covid coordinator (uncredited) (1 episode 2022)
Eva Demir,extra
Brian Bianchi,extra
Steve Kvaran,extra
Arianna Romano,extra
Daniel Samaras,extra
Emma Smith,extra
Tim Mayr,extra
Sanjay Becker,extra
Eva Lewis,extra
Brandon Arben,extra
bourne Aydin,extra
Mehmet Eva,extra
Jeff Becker,extra
James Lopez,extra
Jack Stone,extra
Bjarne Koval,extra
Ken Petersen,extra
Chloe White,extra
Jacob Hawking,extra
Brandon Scarlett,extra
Grace Nielsen,extra
Gennady Grace,extra
Connor Jobs,extra
Daniel Nielsen,extra
Isabella Stone,extra
Fabrice White,extra
Gabriel Eder,extra
Mia Robert,extra
Eva Anderson,extra
Bjarne Becker,extra
Brian Perez,extra
Jon Harris,extra
Aaron Yildiz,extra
James Miller,extra
Lucas Dorsey,extra
Adam Martin,extra
Petr Kaya,extra
Ethan Torvalds,extra
Stephen Ethan,extra
Elizabeth White,extra
Noah Sahin,extra
Avery Newton,extra
Arianna Davis,extra
Richard Leroy,extra
Aaron Emine,extra
Ian Celik,extra
John Again,extra
Richard Scarlett,extra
Aiden Ava,extra
Linus Arianna,extra
Arianna Edison,extra
Lucas Boyko,extra
Avery koufos,extra
Isaac Nielsen,extra
Dennis Waage,extra
Ken Demir,extra
Dennis Thomas,extra
William Again,extra
Ava Miller,extra
Petr Newton,extra
Ken Lion,extra
Arianna Rossum,extra
Brian Lewis,extra
Emma Hernandez,extra
Adam Meyer,extra
Jack Arianna,extra
Daniel Egzon,extra
James Ethan,extra
Arianna Stone,extra
John Stroustrup,extra
Jon Maier,extra
Alexa Connor,extra
William Maier,extra
Lucas koufos,extra
Connor Ferrari,extra
Jeff Hall,extra
Aaron Yildiz,extra
Anders Alexa,extra
Guido Egger,extra
Emily Grace,extra
Mia Ilves,extra
Connor Evan,extra
Donald Demir,extra
Evan Meyer,extra
Brian Sofia,extra
Noah Yildiz,extra
Petr Bianchi,extra
Fabrice Edison,extra
Mia Yildirim,extra
Emma Harris,extra
Richard Smith,extra
Arianna Aydin,extra
Zoey Fischer,extra
Fabrice Arben,extra
Jack Miller,extra
Benjamin Gabriel,extra
Adam Fischer,extra
Adam Weber,extra
Sanjay Yilmaz,extra
Noah Moroz,extra
Arianna Harris,extra
William Yildiz,extra
Isabella Dogan,extra
Jack Yildirim,extra
Eva Ilves,extra
Alexis Arslan,extra
Ava Again,extra
Emma Eder,extra
Jon Fischer,extra
Ethan White,extra
Steve Ava,extra
Taylor Stroustrup,extra
Connor Claes,extra
Aaron Lion,extra
Anders Mayr,extra
Emily Harris,extra
Mia Bianchi,extra
Guido Samaras,extra
Avery Egzon,extra
Benjamin Celik,extra
Adam Hernandez,extra
Emma Kovalenko,extra
Gennady Williams,extra
John Johnson,extra
Dennis Nielsen,extra
Emily Yilmaz,extra
James Lewis,extra
Tim Zoey,extra
Eva Waage,extra
Isabella Garcia,extra
Elizabeth Martin,extra
Kaylee Johnson,extra
